competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:7996,Harstad IBK,6,29,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:610438,Vaalerenga IF,7,22,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:117616,IK Akerselva,8,21,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4169,Nor 92 IBK,9,19,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:7995,Gjellerasen Fighters,10,18,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:225494,Sandnes IBK,11,16,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:1114191,Ajer,12,14,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:686273,Ull/Kisa,2,3,2,,,"eliteserien 24/25, relegation/promotion regular season league"
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:686271,Narvik,3,0,2,,,"eliteserien 24/25, relegation/promotion regular season league"
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4174,IBK Slevik,1,65,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4168,Tunet IBK,2,61,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4176,Greaker IBK,3,50,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4169,Nor 92 IBK,4,43,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4170,Sveiva IBK,5,40,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:4172,Sarpsborg SK,6,35,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:7995,Gjellerasen Fighters,7,25,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:225494,Sandnes IBK,8,23,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:117616,IK Akerselva,9,22,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:686273,Ull/Kisa,10,16,22,,,eliteserien 25/26 regular season league
