competition_id,competition_name,season_id,season_name,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48547679,2024-03-16T09:00:00+00:00,sr:competitor:225494,Sandnes IBK,sr:competitor:686269,Sjetne,5,2
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48547681,2024-03-16T11:30:00+00:00,sr:competitor:1114191,Ajer,sr:competitor:686271,Narvik,5,4
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350517,2024-03-16T14:00:00+00:00,sr:competitor:7996,Harstad IBK,sr:competitor:4174,IBK Slevik,1,7
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:48465763,2024-03-16T14:00:00+00:00,sr:competitor:7986,Chur Unihockey,sr:competitor:22049,UHC Waldkirch-St. Gallen,4,1
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466967,2024-03-16T14:30:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,6,9
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623683,2024-03-16T15:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4144,Storvreta IBK,4,3
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623671,2024-03-16T15:00:00+00:00,sr:competitor:5745,IBF Falun,sr:competitor:34558,Vaxjo IBK,5,8
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623673,2024-03-16T15:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:4150,Karlstad IBF,7,5
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623675,2024-03-16T15:00:00+00:00,sr:competitor:4138,Pixbo Wallenstam,sr:competitor:4142,AIK Innebandy,12,3
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623677,2024-03-16T15:00:00+00:00,sr:competitor:24122,Mullsjo AIS,sr:competitor:5744,FC Helsingborg,9,8
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623679,2024-03-16T15:00:00+00:00,sr:competitor:375152,Hagunda IF,sr:competitor:610450,Nykvarns IBF Ungdom,4,5
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623681,2024-03-16T15:00:00+00:00,sr:competitor:41254,Linkoping IBK,sr:competitor:118116,Thorengruppen SK,6,5
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:48547929,2024-03-16T16:00:00+00:00,sr:competitor:7994,UHC Uster,sr:competitor:557142,Unihockey Basel Regio,4,5
